Robot_Position X	Robot_Position Y	weight
700	406	0.191077
692	407	0.193914
688	410	0.198826
685	408	0.200421
685	408	0.179251
685	408	0.179251
685	409	0.179251
685	409	0.076053
685	410	0.076075
685	409	0.076053
685	409	0.187633
685	409	0.187633
685	410	0.188648
685	410	0.188648
685	410	0.188648
685	410	0.215764
685	410	0.215764
685	410	0.215764
685	410	0.210281
685	410	0.210281
685	410	0.066163
685	410	0.066163
685	410	0.066163
685	410	0.192072
685	410	0.192072
685	410	0.192072
685	410	0.191424
685	410	0.191424
685	408	0.191417
685	408	0.191417
684	408	0.200591
683	409	0.200604
683	409	0.200604
683	409	0.192588
683	409	0.192588
683	409	0.199239
683	409	0.199239
683	409	0.199239
683	409	0.188083
683	409	0.188083
683	409	0.188083
683	409	0.199916
683	409	0.199916
683	409	0.199916
683	409	0.195847
683	409	0.195847
683	409	0.199868
684	410	0.199874
685	408	0.199887
684	410	0.202408
684	410	0.202408
684	410	0.202408
684	410	0.202408
684	410	0.053676
684	410	0.053676
684	410	0.197313
684	410	0.197313
684	410	0.197313
684	410	0.194821
684	410	0.194821
684	410	0.194821
684	410	0.191046
684	410	0.191046
684	410	0.191046
684	410	0.061841
684	410	0.061841
684	410	0.061841
685	410	0.201203
685	410	0.201203
685	410	0.201203
685	410	0.194872
685	410	0.194872
685	410	0.058551
685	410	0.058551
685	410	0.058551
685	410	0.062202
685	410	0.062202
685	410	0.192441
685	410	0.192441
685	410	0.192441
685	410	0.190821
685	410	0.190821
685	410	0.190821
685	410	0.194014
685	410	0.194014
685	410	0.184642
687	408	0.184648
685	410	0.184642
685	410	0.186907
685	410	0.186907
685	410	0.205167
685	410	0.205167
685	410	0.205167
685	410	0.184116
685	410	0.184116
685	410	0.184116
685	410	0.191835
685	410	0.191835
685	410	0.191835
685	410	0.193625
685	410	0.193625
685	410	0.193625
685	410	0.206199
685	410	0.206199
685	410	0.184802
685	410	0.184802
685	410	0.184802
685	410	0.195595
685	410	0.195595
685	410	0.049435
685	410	0.049435
685	410	0.049435
685	410	0.061581
685	410	0.061581
685	410	0.061581
685	410	0.067317
685	410	0.067317
685	410	0.067317
685	410	0.190022
685	410	0.190022
685	410	0.190022
685	410	0.190022
685	410	0.055358
685	410	0.055358
685	410	0.199823
685	410	0.199823
686	410	0.199816
683	407	0.196573
682	408	0.196573
686	408	0.193900
687	408	0.193913
688	409	0.057347
688	409	0.057347
688	409	0.057347
688	409	0.195441
688	409	0.195441
688	409	0.195441
688	409	0.067190
688	409	0.067190
688	409	0.067190
688	409	0.063743
688	409	0.063743
688	409	0.196057
688	409	0.196057
688	409	0.196057
688	409	0.209879
688	409	0.209879
688	409	0.209879
688	409	0.190378
688	409	0.190378
688	409	0.181838
688	409	0.181838
688	409	0.181838
688	409	0.196875
688	409	0.196875
688	409	0.196875
688	409	0.212146
688	409	0.212146
688	409	0.206270
688	409	0.206270
688	409	0.206270
688	409	0.182873
688	409	0.182873
688	409	0.182873
688	409	0.201477
685	410	0.201578
685	410	0.201578
685	410	0.191424
683	410	0.191424
684	410	0.191424
683	410	0.191424
683	410	0.204122
683	410	0.204122
683	410	0.204122
683	410	0.206139
683	410	0.206139
683	410	0.206139
683	410	0.206139
683	410	0.206350
683	410	0.206350
683	410	0.214833
683	410	0.214833
683	410	0.214833
683	410	0.193290
685	410	0.193303
683	410	0.178831
685	410	0.178864
683	410	0.178831
685	410	0.188738
685	410	0.188738
685	410	0.188738
685	410	0.056676
685	410	0.056676
685	410	0.056676
685	410	0.201696
685	410	0.201696
685	410	0.201696
685	410	0.183057
685	410	0.183057
685	410	0.183057
685	410	0.193382
685	410	0.193382
685	410	0.193382
685	410	0.186279
685	410	0.186279
685	410	0.186279
684	410	0.186279
685	410	0.198119
685	410	0.058296
685	410	0.058296
685	410	0.058296
685	410	0.183785
685	410	0.183785
685	410	0.202482
685	410	0.202482
685	410	0.202482
685	410	0.184484
685	410	0.184484
685	410	0.184484
685	410	0.183765
685	410	0.183765
685	410	0.065276
685	410	0.065276
683	409	0.067011
683	409	0.200519
690	408	0.200519
690	408	0.200519
690	408	0.060274
686	408	0.060361
685	409	0.195557
685	409	0.195557
685	409	0.195557
685	409	0.054691
685	409	0.054691
685	409	0.054691
685	409	0.201021
685	409	0.201021
685	409	0.201021
685	409	0.202014
685	409	0.202014
685	409	0.202014
685	409	0.209903
685	409	0.209903
685	409	0.209903
685	409	0.192999
685	409	0.192999
685	409	0.192999
685	409	0.190962
685	409	0.190962
685	409	0.186313
685	409	0.186313
685	409	0.186313
685	409	0.198218
685	409	0.198218
685	409	0.198218
685	409	0.194453
685	409	0.194453
685	409	0.187139
685	409	0.187139
685	409	0.187139
685	409	0.186528
685	409	0.186528
685	409	0.186528
685	408	0.202805
685	408	0.202805
685	408	0.202805
685	408	0.184058
